ds,yhat,module
2023-12-08,1203.6984,DatenSich
2023-12-22,1000.6381333333334,DatenSich
2023-12-29,899.1080000135311,DatenSich
2024-01-12,696.0477334533442,DatenSich
2024-01-26,492.9874669318676,DatenSich
2024-02-02,391.45733368791736,DatenSich
2024-02-09,289.9272004309439,DatenSich
2024-02-16,188.39706719396014,DatenSich
2024-02-23,86.8669339733326,DatenSich
2024-04-12,-623.8439985710604,DatenSich
2024-04-14,-652.8526080626683,DatenSich
2024-04-21,-754.3827412832958,DatenSich
2024-04-28,-855.9128745039234,DatenSich
2024-05-05,-957.4430077245511,DatenSich
2024-05-12,-1058.9731409451788,DatenSich
2024-05-19,-1160.5032741658065,DatenSich
2024-05-26,-1262.0334073864337,DatenSich
2024-06-02,-1363.5635406070612,DatenSich
2024-06-09,-1465.0936738276887,DatenSich
2024-06-16,-1566.6238070483166,DatenSich
2024-06-23,-1668.153940268944,DatenSich
2024-06-30,-1769.684073489572,DatenSich
2024-07-07,-1871.2142067101993,DatenSich
2024-07-14,-1972.7443399308268,DatenSich
2024-07-21,-2074.2744731514545,DatenSich
2024-07-28,-2175.804606372082,DatenSich
2024-08-04,-2277.3347395927094,DatenSich
2024-08-11,-2378.864872813337,DatenSich
2023-12-04,1577.06676,Datenbank
2023-12-11,1412.117085,Datenbank
2023-12-25,1082.2177351169287,Datenbank
2024-01-01,917.2680600035259,Datenbank
2024-01-08,752.318384526224,Datenbank
2024-01-15,587.3687093055208,Datenbank
2024-01-29,257.4693595747838,Datenbank
2024-02-05,92.51968449380392,Datenbank
2024-02-12,-72.42999002940753,Datenbank
2024-02-19,-237.37966455261875,Datenbank
2024-02-26,-402.3293390758302,Datenbank
2024-03-03,-543.7147743814398,Datenbank
2024-03-10,-708.6644489046511,Datenbank
2024-03-17,-873.6141234278628,Datenbank
2024-03-24,-1038.5637979510739,Datenbank
2024-03-31,-1203.5134724742852,Datenbank
2024-04-07,-1368.4631469974968,Datenbank
2024-04-14,-1533.4128215207081,Datenbank
2024-04-21,-1698.3624960439192,Datenbank
2024-04-28,-1863.312170567131,Datenbank
2024-05-05,-2028.2618450903421,Datenbank
2024-05-12,-2193.2115196135537,Datenbank
2024-05-19,-2358.1611941367655,Datenbank
2024-05-26,-2523.110868659977,Datenbank
2024-06-02,-2688.0605431831877,Datenbank
2024-06-09,-2853.0102177063995,Datenbank
2024-06-16,-3017.9598922296113,Datenbank
2024-06-23,-3182.909566752822,Datenbank
2024-06-30,-3347.8592412760336,Datenbank
2023-12-06,1730.9978999999998,PGI
2023-12-13,1537.5121963636363,PGI
2023-12-27,1150.5407890232518,PGI
2024-01-10,763.5693816845227,PGI
2024-01-17,570.0836780557395,PGI
2024-01-31,183.11227077576362,PGI
2024-02-07,-10.373432877508115,PGI
2024-02-14,-203.85913654226306,PGI
2024-02-21,-397.34484020701825,PGI
2024-02-25,-507.90809944402133,PGI
2024-03-03,-701.3938031087761,PGI
2024-03-10,-894.8795067735317,PGI
2024-03-17,-1088.3652104382863,PGI
2024-03-24,-1281.8509141030415,PGI
2024-03-31,-1475.3366177677967,PGI
2024-04-07,-1668.822321432552,PGI
2024-04-14,-1862.308025097307,PGI
2024-04-21,-2055.793728762062,PGI
2024-04-28,-2249.2794324268175,PGI
2024-05-05,-2442.7651360915725,PGI
2024-05-12,-2636.250839756328,PGI
2024-05-19,-2829.736543421083,PGI
2024-05-26,-3023.2222470858374,PGI
2024-06-02,-3216.707950750594,PGI
2024-06-09,-3410.1936544153486,PGI
2024-06-16,-3603.6793580801036,PGI
2024-06-23,-3797.165061744859,PGI
2023-12-07,991.27548,Prog1
2023-12-14,915.4580066666667,Prog1
2023-12-21,839.6405335409753,Prog1
2023-12-28,763.8230604768515,Prog1
2024-01-11,612.1881142359749,Prog1
2024-01-18,536.3706409122028,Prog1
2024-02-01,384.7356939686623,Prog1
2024-02-08,308.91822036061484,Prog1
2024-02-15,233.1007468874596,Prog1
2024-02-22,157.28327351652945,Prog1
2024-04-04,-297.621566709051,Prog1
2024-04-11,-373.4390400799812,Prog1
2024-04-14,-405.93224295323694,Prog1
2024-04-21,-481.74971632416697,Prog1
2024-04-28,-557.5671896950972,Prog1
2024-05-05,-633.3846630660274,Prog1
2024-05-12,-709.2021364369575,Prog1
2024-05-19,-785.0196098078875,Prog1
2024-05-26,-860.8370831788176,Prog1
2024-06-02,-936.654556549748,Prog1
2024-06-09,-1012.4720299206776,Prog1
2024-06-16,-1088.2895032916078,Prog1
2024-06-23,-1164.106976662538,Prog1
2024-06-30,-1239.9244500334682,Prog1
2024-07-07,-1315.7419234043982,Prog1
2024-07-14,-1391.5593967753282,Prog1
2024-07-21,-1467.3768701462586,Prog1
2024-07-28,-1543.1943435171888,Prog1
2024-08-04,-1619.011816888119,Prog1
2024-08-11,-1694.8292902590488,Prog1
2023-12-05,1099.73214,Prog3
2023-12-26,746.5965872727273,Prog3
2024-01-09,511.1728847107003,Prog3
2024-01-16,393.46103362278643,Prog3
2024-02-06,40.325484465271884,Prog3
2024-02-13,-77.38636493255929,Prog3
2024-02-20,-195.09821433039048,Prog3
2024-02-25,-279.1781067574126,Prog3
2024-03-03,-396.88995615524396,Prog3
2024-03-10,-514.6018055530751,Prog3
2024-03-17,-632.3136549509061,Prog3
2024-03-24,-750.0255043487375,Prog3
2024-03-31,-867.7373537465688,Prog3
2024-04-07,-985.4492031444003,Prog3
2024-04-14,-1103.1610525422311,Prog3
2024-04-21,-1220.872901940062,Prog3
2024-04-28,-1338.5847513378935,Prog3
2024-05-05,-1456.296600735725,Prog3
2024-05-12,-1574.0084501335562,Prog3
2024-05-19,-1691.7202995313874,Prog3
2024-05-26,-1809.4321489292188,Prog3
2024-06-02,-1927.1439983270495,Prog3
2024-06-09,-2044.8558477248807,Prog3
2024-06-16,-2162.567697122712,Prog3
2024-06-23,-2280.2795465205436,Prog3
