module,day,week,attendance_count
DatenSich,2023-12-08,49,2400
DatenSich,2023-12-22,51,1350
DatenSich,2023-12-29,52,368
DatenSich,2024-01-12,2,136
DatenSich,2024-01-26,4,32
DatenSich,2024-02-02,5,48
DatenSich,2024-02-09,6,56
DatenSich,2024-02-16,7,48
DatenSich,2024-02-23,8,48
DatenSich,2024-04-12,15,120
Datenbank,2023-12-04,49,2070
Datenbank,2023-12-11,50,1830
Datenbank,2023-12-25,52,1380
Datenbank,2024-01-01,1,360
Datenbank,2024-01-08,2,48
Datenbank,2024-01-15,3,40
Datenbank,2024-01-29,5,48
Datenbank,2024-02-05,6,56
Datenbank,2024-02-12,7,48
Datenbank,2024-02-19,8,48
Datenbank,2024-02-26,9,48
PGI,2023-12-06,49,2190
PGI,2023-12-13,50,2190
PGI,2023-12-27,52,360
PGI,2024-01-10,2,344
PGI,2024-01-17,3,48
PGI,2024-01-31,5,48
PGI,2024-02-07,6,56
PGI,2024-02-14,7,48
PGI,2024-02-21,8,48
Prog1,2023-12-07,49,1560
Prog1,2023-12-14,50,1320
Prog1,2023-12-21,51,1350
Prog1,2023-12-28,52,368
Prog1,2024-01-11,2,208
Prog1,2024-01-18,3,8
Prog1,2024-02-01,5,48
Prog1,2024-02-08,6,56
Prog1,2024-02-15,7,48
Prog1,2024-02-22,8,24
Prog1,2024-04-04,14,48
Prog1,2024-04-11,15,16
Prog3,2023-12-05,49,1620
Prog3,2023-12-26,52,360
Prog3,2024-01-09,2,344
Prog3,2024-01-16,3,48
Prog3,2024-02-06,6,56
Prog3,2024-02-13,7,48
Prog3,2024-02-20,8,48
